user_id,show_id,title,category,score,genre
1,s8381,The Lake House,rewatch_favorite,4.0,
1,s3466,First Kiss,rewatch_favorite,5.0,
1,s3181,A Christmas Prince: The Royal Baby,rewatch_favorite,4.0,
1,s7739,Phone Swap,rewatch_favorite,5.0,
1,s5899,6 Years,rewatch_favorite,5.0,
1,s493,Midnight Sun,rewatch_favorite,4.0,
2,s2471,Supergirl,rewatch_favorite,4.0,
2,s7845,Red Dawn,rewatch_favorite,4.0,
2,s4410,Transfers,rewatch_favorite,5.0,
3,s1707,The Minions of Midas,rewatch_favorite,5.0,
3,s8294,The Fear,rewatch_favorite,4.0,
3,s3474,The K2,rewatch_favorite,4.0,
3,s1318,Nadiya Bakes,rewatch_favorite,5.0,
3,s1517,Home for Christmas,rewatch_favorite,4.0,
4,s7269,Last,rewatch_favorite,5.0,
4,s1952,A Perfect Crime,rewatch_favorite,4.0,
4,s1484,A Love So Beautiful,rewatch_favorite,5.0,
4,s7484,Money for Nothing,rewatch_favorite,4.0,
4,s5005,21 Thunder,rewatch_favorite,5.0,
4,s5357,Love Storm,rewatch_favorite,5.0,
4,s3131,Crazy Lovely Cool,rewatch_favorite,4.0,
4,s4495,Making a Murderer,rewatch_favorite,4.0,
4,s701,Record of Ragnarok,rewatch_favorite,4.0,
5,s7843,Rectify,rewatch_favorite,4.0,
5,s5471,Bloodline,rewatch_favorite,5.0,
5,s3764,Elisa & Marcela,rewatch_favorite,4.0,
5,s821,The Platform,rewatch_favorite,5.0,
5,s8084,Star-Crossed,rewatch_favorite,5.0,
5,s1060,House of Cards,rewatch_favorite,5.0,
6,s3421,Second 20s,rewatch_favorite,4.0,
6,s3104,CAROLE & TUESDAY,rewatch_favorite,4.0,
6,s4145,Sword Art Online Alternative: Gun Gale Online,rewatch_favorite,4.0,
6,s8701,Wartime Portraits,rewatch_favorite,4.0,
6,s2671,Hasmukh,rewatch_favorite,4.0,
6,s6319,Bitten,rewatch_favorite,5.0,
6,s2923,Palazuelos mi rey,rewatch_favorite,4.0,
7,s6450,Chashme Buddoor,rewatch_favorite,4.0,
7,s4948,A Sort of Family,rewatch_favorite,5.0,
7,s3933,Sarvam Thaala Mayam (Telugu Version),rewatch_favorite,4.0,
7,s4316,5 Star Christmas,rewatch_favorite,5.0,
7,s828,One Lagos Night,rewatch_favorite,5.0,
7,s850,Sam Smith: Love Goes - Live at Abbey Road Studios,rewatch_favorite,4.0,
8,s6101,Age Gap Love,rewatch_favorite,4.0,
8,s8575,ThirTEEN Terrors,rewatch_favorite,4.0,
8,s8032,Skin Wars: Fresh Paint,rewatch_favorite,5.0,
8,s2978,Ainori Love Wagon: African Journey,rewatch_favorite,4.0,
8,s2107,Rust Valley Restorers,rewatch_favorite,4.0,
8,s7393,Man vs Wild with Sunny Leone,rewatch_favorite,4.0,
8,s7868,Rica Famosa Latina,rewatch_favorite,4.0,
8,s6452,Chasing Monsters,rewatch_favorite,4.0,
9,s2796,Tiger King: Murder Mayhem and Madness,rewatch_favorite,5.0,
9,s6652,Drugs Inc.,rewatch_favorite,5.0,
9,s6931,Harold Shipman - Driven to Kill,rewatch_favorite,4.0,
9,s1466,The Haunted Hathaways,rewatch_favorite,5.0,
9,s3416,THE UNLISTED,rewatch_favorite,5.0,
9,s1463,Running Man,rewatch_favorite,5.0,
9,s4495,Making a Murderer,rewatch_favorite,4.0,
9,s5413,Criminal Minds,rewatch_favorite,4.0,
10,s8265,The Damned Rain,rewatch_favorite,5.0,
10,s4138,Free Rein: Valentine's Day,rewatch_favorite,4.0,
10,s8551,The Walls of the Moon,rewatch_favorite,4.0,
10,s7246,Kurt Seyit & Sura,rewatch_favorite,5.0,
10,s2325,#FriendButMarried 2,rewatch_favorite,4.0,
10,s42,Jaws,rewatch_favorite,4.0,
10,s4386,The Ballad of Buster Scruggs,rewatch_favorite,4.0,
10,s4594,Nasha,rewatch_favorite,5.0,
10,s1323,Growing up and other problems,rewatch_favorite,5.0,
11,s5240,Franca: Chaos and Creation,rewatch_favorite,5.0,
11,s7131,Jimi Hendrix,rewatch_favorite,4.0,
11,s3788,Bad Blood,rewatch_favorite,5.0,
11,s1586,Manhunt: Deadly Games,rewatch_favorite,5.0,
11,s234,Count Me In,rewatch_favorite,5.0,
11,s2,Blood & Water,rewatch_favorite,5.0,
11,s7259,La Viuda Negra,rewatch_favorite,5.0,
11,s1874,The Haunting of Bly Manor,rewatch_favorite,5.0,
11,s1924,The Unicorn,rewatch_favorite,4.0,
11,s7017,How to Change the World,rewatch_favorite,4.0,
12,s2958,Hum Aapke Hain Koun,rewatch_favorite,5.0,
12,s5916,Aziz Ansari Live at Madison Square Garden,rewatch_favorite,4.0,
12,s400,Masters of the Universe: Revelation,rewatch_favorite,4.0,
12,s2830,Marc Maron: End Times Fun,rewatch_favorite,4.0,
12,s4235,Gina Yashere: Laughing to America,rewatch_favorite,5.0,
12,s4901,Spiritual House,rewatch_favorite,4.0,
12,s2368,An Egyptian Story,rewatch_favorite,4.0,
13,s5948,Strange Voices,rewatch_favorite,5.0,
13,s8228,The Bridge,rewatch_favorite,5.0,
13,s8782,Yo-Kai Watch: The Movie,rewatch_favorite,4.0,
13,s667,Gameboys Level-Up Edition,rewatch_favorite,4.0,
13,s1457,Into the Wild,rewatch_favorite,4.0,
13,s1195,Catch.er,rewatch_favorite,4.0,
13,s764,Sweet Tooth,rewatch_favorite,5.0,
13,s1276,Ginny & Georgia,rewatch_favorite,5.0,
14,s790,Downton Abbey,rewatch_favorite,4.0,
14,s3975,Nate Bargatze: The Tennessee Kid,rewatch_favorite,4.0,
14,s1801,Move,rewatch_favorite,5.0,
14,s5854,Cyborg 009 VS Devilman,rewatch_favorite,5.0,
14,s524,Marcella,rewatch_favorite,5.0,
14,s3359,Bring It On Ghost,rewatch_favorite,4.0,
14,s4121,High Flying Bird,rewatch_favorite,5.0,
14,s6264,Beating Again,rewatch_favorite,4.0,
14,s561,Audible,rewatch_favorite,4.0,
15,s4958,Doctor Foster,rewatch_favorite,5.0,
15,s2246,Dating Around: Brazil,rewatch_favorite,4.0,
15,s2294,Cable Girls,rewatch_favorite,4.0,
15,s5445,Crashing,rewatch_favorite,4.0,
15,s8175,That '70s Show,rewatch_favorite,4.0,
15,s7969,Secret Affair,rewatch_favorite,4.0,
15,s669,Hap and Leonard,rewatch_favorite,5.0,
16,s8262,The Crying Game,rewatch_favorite,4.0,
16,s4477,Terrorism Close Calls,rewatch_favorite,4.0,
16,s4843,Outside In,rewatch_favorite,4.0,
16,s5829,Tallulah,rewatch_favorite,5.0,
16,s2343,Bulbbul,rewatch_favorite,5.0,
16,s6281,Below Her Mouth,rewatch_favorite,5.0,
16,s7296,Leyla and Mecnun,rewatch_favorite,4.0,
17,s4673,Cathedral of the Sea,rewatch_favorite,5.0,
17,s3453,Peaky Blinders,rewatch_favorite,4.0,
17,s8713,Weird Wonders of the World,rewatch_favorite,4.0,
17,s6557,Dance Academy,rewatch_favorite,5.0,
17,s4768,Camarón Revolution,rewatch_favorite,4.0,
17,s1526,Eggnoid: Love & Time Portal,rewatch_favorite,4.0,
17,s6587,Deep Undercover Collection,rewatch_favorite,4.0,
17,s1174,Men on a Mission,rewatch_favorite,5.0,
